	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T131841	508.6120246	-0.305019394	0.132071224	-2.30950683	0.020915473	0.999941141
CRO_T129705	6.01909561	2.186365605	0.948212197	2.305776715	0.021123112	0.999941141
CRO_T106246	213.8777065	-0.378386683	0.164919381	-2.294373654	0.021769045	0.999941141
CRO_T129153	77.69558267	-0.633255574	0.279278036	-2.267473605	0.02336131	0.999941141
CRO_T105327	441.0022747	-0.347793873	0.153917632	-2.259610336	0.023845446	0.999941141
CRO_T101272	77.36219874	-0.731770018	0.32428416	-2.256570339	0.024034935	0.999941141
CRO_T108439	12.47679592	1.361794464	0.612983684	2.221583542	0.026311463	0.999941141
CRO_T139329	94.1319753	-0.786640283	0.356836504	-2.20448377	0.02749034	0.999941141
CRO_T120937	32.23634231	1.218814185	0.553485513	2.202070618	0.027660321	0.999941141
CRO_T110206	59.60495876	0.578938826	0.263568625	2.196539234	0.02805337	0.999941141
CRO_T108501	53.50610479	-1.481837919	0.679329316	-2.18132485	0.029159398	0.999941141
CRO_T131393	81.06860734	-0.538342139	0.250067491	-2.152787378	0.031335393	0.999941141
CRO_T101837	35.74950961	0.743518013	0.345825442	2.149980664	0.031556744	0.999941141
CRO_T108400	5.421298411	2.604943522	1.212677742	2.148092136	0.031706437	0.999941141
CRO_T122563	23.16654625	1.405795015	0.65525164	2.145427694	0.031918667	0.999941141
CRO_T106061	207.5028357	0.544551641	0.254407274	2.14047198	0.032316643	0.999941141
CRO_T130245	44.59477463	1.017811144	0.477550182	2.131317676	0.03306298	0.999941141
CRO_T137721	137.3508107	-0.464892741	0.219459104	-2.118357051	0.03414484	0.999941141
CRO_T133583	9.069372042	1.481102687	0.700545582	2.114213158	0.034497066	0.999941141
CRO_T111356	94.37033467	0.482145852	0.2288608	2.106720994	0.035141771	0.999941141
CRO_T101441	167.8436144	-0.368897652	0.175327118	-2.104053589	0.035373773	0.999941141
CRO_T133061	273.5109403	-0.347387904	0.166388154	-2.08781632	0.036814407	0.999941141
CRO_T129889	274.6555946	0.516511125	0.247462966	2.087225958	0.036867714	0.999941141
CRO_T123374	119.2793097	0.474734944	0.22850427	2.077575809	0.037748446	0.999941141
CRO_T122614	439.0857502	-0.326343966	0.158178867	-2.063132524	0.039100039	0.999941141
CRO_T124792	34.31839756	-0.701675958	0.340298814	-2.061940649	0.039213387	0.999941141
CRO_T129457	3516.128038	-0.463817785	0.225585354	-2.05606338	0.039776407	0.999941141
CRO_T101224	57.89297597	0.581122232	0.282682225	2.055743802	0.039807217	0.999941141
CRO_T133413	713.0674253	0.595560409	0.290787049	2.04809812	0.040550386	0.999941141
CRO_T102387	17.71092738	-1.470862495	0.72110397	-2.039737065	0.041376521	0.999941141
CRO_T125223	2163.16152	0.802543035	0.394332385	2.035194331	0.041831323	0.999941141
CRO_T103993	218.7970764	-0.396210424	0.194970771	-2.032152932	0.042138176	0.999941141
CRO_T119479	38.73470812	0.865422593	0.426903706	2.027207966	0.042641149	0.999941141
CRO_T103209	83.72340387	4.001474517	1.975544733	2.025504384	0.042815599	0.999941141
CRO_T137207	23.82921766	0.985215795	0.486853575	2.023638822	0.043007327	0.999941141
CRO_T103207	20.52213332	3.72176904	1.842035865	2.020465025	0.043335174	0.999941141
CRO_T127336	62.48697257	-0.568753733	0.282981122	-2.009864576	0.044445524	0.999941141
CRO_T135976	51.04713214	0.616230526	0.306706872	2.009183953	0.044517629	0.999941141
