target_id 	 Ck_1 	 CK_2 	 CK_3 	 ET_1 	 ET_2 	 ET_3 	 MJ_1 	 MJ_2 	 MJ_3 
CRO_T100153	0	0	0	0	0	0	0	0	0
CRO_T100155	0	0	0	0	0	0	0	0	0
CRO_T100156	0	0	0	0	0	0	0	0	0
CRO_T100158	11	9	15	12	12	13	11	10	10
CRO_T100159	25	22	26	24	25	27	26	26	26
CRO_T100160	0	0	0	0	0	0	0	0	0
CRO_T100161	0	0	0	0	0	0	0	0	0
CRO_T100162	0	0	0	0	0	0	0	0	0
CRO_T100164	0	0	0	0	0	0	0	0	0
CRO_T100165	0	0	0	0	0	0	0	0	0
CRO_T100166	0	0	1	2	1	1	2	2	1
CRO_T100167	143	118	176	203	146	129	180	176	188
CRO_T100168	0	0	0	0	0	0	0	0	0
CRO_T100169	0	0	0	0	0	0	0	0	0
CRO_T100170	0	0	0	0	0	0	0	0	0
CRO_T100172	161	134	184	162	145	138	141	159	142
CRO_T100173	0	0	0	0	0	0	0	0	0
CRO_T100174	0	0	0	0	0	0	0	0	0
CRO_T100175	0	0	0	0	0	0	0	0	0
CRO_T100176	14	13	16	16	16	16	16	15	14
CRO_T100177	1	1	0	0	1	1	0	1	0
CRO_T100179	17	19	18	20	15	18	26	24	25
CRO_T100180	0	0	0	0	0	0	0	0	0
CRO_T100181	0	0	0	0	0	0	0	0	0
CRO_T100183	1	2	1	1	1	2	1	1	1
CRO_T100184	27	22	35	26	20	21	16	20	19
CRO_T100185	0	0	0	0	0	0	0	0	0
CRO_T100186	45	44	38	47	36	51	46	45	53
CRO_T100187	1	2	2	2	2	2	2	2	3
CRO_T100188	0	0	0	0	0	0	0	0	0
CRO_T100189	0	0	0	0	0	0	0	0	0
CRO_T100191	0	0	0	0	0	0	0	0	0
CRO_T100192	0	0	0	0	0	0	0	0	0
CRO_T100193	0	0	0	0	0	0	0	0	0
CRO_T100194	0	0	0	0	0	0	0	0	0
CRO_T100195	0	0	0	0	0	0	0	0	0
CRO_T100196	0	0	0	0	0	0	0	0	0
CRO_T100200	0	0	0	0	0	0	0	0	0
CRO_T100202	0	0	0	0	0	0	0	0	0
CRO_T100203	0	0	0	0	0	0	0	0	0
CRO_T100206	0	0	0	0	0	0	0	0	0
CRO_T100207	45	49	28	37	36	55	43	31	46
CRO_T100208	0	0	0	0	0	0	0	0	0
CRO_T100209	0	0	0	0	0	0	0	0	0
CRO_T100210	0	0	0	0	0	0	0	0	0
CRO_T100211	0	0	0	0	0	0	0	0	0
CRO_T100213	0	0	0	0	0	0	0	0	0
CRO_T100214	0	0	0	0	0	0	0	0	0
CRO_T100216	0	0	0	0	0	0	0	0	0
CRO_T100217	0	0	0	0	0	0	0	0	0
CRO_T100218	0	0	0	0	0	0	0	0	0
CRO_T100219	0	0	0	0	0	0	0	0	0
