target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1005.Contig8	93	88	99	145	124	156	104	117	122
CL1005.Contig9	22	17	28	19	25	17	16	15	13
CL1006.Contig1	82	60	92	30	74	51	71	36	50
CL1006.Contig2	7	14	14	6	0	13	15	5	11
CL1006.Contig3	4	10	19	6	10	0	10	0	11
CL1006.Contig4	2	0	0	0	8	10	0	0	0
CL1006.Contig5	15	8	7	11	8	24	11	14	12
CL1006.Contig6	40	28	8	33	1	12	63	0	22
CL1006.Contig7	0	0	13	39	34	21	0	67	23
CL1007.Contig1	7	10	16	18	12	8	11	15	12
CL1007.Contig2	183	247	239	229	207	198	269	250	279
CL1007.Contig3	71	62	56	83	88	73	49	79	69
CL1008.Contig1	89	90	115	115	116	112	130	115	80
CL1008.Contig2	17	16	29	19	18	26	15	18	10
CL1008.Contig3	17	30	24	21	20	23	7	15	32
CL1008.Contig4	15	14	9	16	15	15	16	13	17
CL1009.Contig1	18	7	7	9	30	20	3	30	13
CL1009.Contig2	98	94	140	135	105	128	139	126	93
CL101.Contig1	10	15	11	6	24	29	7	11	16
CL101.Contig10	5	9	7	2	5	2	5	6	6
CL101.Contig11	0	0	1	2	0	0	2	0	0
CL101.Contig12	9	0	5	0	13	3	0	3	0
CL101.Contig13	0	0	1	3	0	0	0	0	0
CL101.Contig14	7	13	9	3	11	4	1	19	14
CL101.Contig15	12	0	6	0	27	6	0	11	1
CL101.Contig2	6	9	7	3	9	14	25	2	5
CL101.Contig3	20	31	23	21	43	26	8	47	24
CL101.Contig4	5	6	7	1	12	12	1	2	2
CL101.Contig5	7	8	10	2	25	20	0	7	4
CL101.Contig6	0	0	0	0	0	0	0	0	0
CL101.Contig7	0	0	0	0	0	0	0	0	1
CL101.Contig8	0	0	1	2	0	0	0	0	0
CL101.Contig9	0	0	1	1	0	0	0	0	0
CL1010.Contig1	116	203	165	307	231	152	255	349	219
CL1010.Contig2	61	82	75	114	58	24	81	121	72
CL1011.Contig1	12	0	9	19	19	20	15	7	0
CL1011.Contig2	76	44	122	23	120	65	55	43	37
CL1012.Contig1	91	85	103	80	92	103	97	103	77
CL1012.Contig2	11	13	20	24	17	18	20	15	16
CL1013.Contig1	241	317	262	341	203	183	249	258	299
CL1013.Contig2	723	1228	804	1115	567	469	713	926	1027
CL1013.Contig3	0	0	12	0	13	0	0	0	0
