"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CRO_T136247"	44.023355863052	2.42458940556251	0.535325267068607	4.52918917659042	5.9210467793259e-06	0.0671565125711143
"CRO_T122747"	10.2966063072533	4.32502438530121	1.15324589099874	3.75030548043456	0.000176619271581911	0.570788516744648
"CRO_T127108"	9.48195695745168	4.62515223283974	1.24419732211177	3.71737838576079	0.000201300834683353	0.570788516744648
"CRO_T129257"	73.0395916675546	1.27693766619739	0.339877111682196	3.75705695472485	0.000171923378376788	0.570788516744648
"CRO_T105894"	34.2527599412831	1.86112498772303	0.55323515568382	3.36407577971542	0.000768004524891338	0.967856369035284
"CRO_T116217"	15.7743130271805	2.24570031672367	0.640113534789615	3.50828438186635	0.000451006660812952	0.967856369035284
"CRO_T116226"	143.441206186399	0.706576193242709	0.205601578880932	3.43662824521354	0.000589003434443876	0.967856369035284
"CRO_T134569"	126.229991806501	1.71808563839468	0.505903916855735	3.39607103473882	0.000683606160784619	0.967856369035284
"CRO_T138732"	114.804879493332	1.05515592273163	0.309735202994793	3.40663867887618	0.000657681295245353	0.967856369035284
"CRO_T108945"	229.750341525401	-1.6157515178484	0.485120758035716	-3.33061715270786	0.000866536915320641	0.982826169356671
"CRO_T100011"	10.7291614498856	0.0640061580133488	0.584489316835998	0.109507832170196	0.912799709957278	0.999941140505314
"CRO_T100015"	18.8777844148286	-0.0846053692243361	0.402550912196136	-0.210173090312396	0.833532581314029	0.999941140505314
"CRO_T100018"	27.1644907582418	0.0329007064269581	0.341600225544605	0.0963134798125654	0.923271605516208	0.999941140505314
"CRO_T100023"	30.3341235185295	0.0371325561477429	0.32947989482265	0.112700522038622	0.910267987360809	0.999941140505314
"CRO_T100025"	41.5093647590634	0.0536399595863397	0.287644713657973	0.186479907467102	0.852068434012405	0.999941140505314
"CRO_T100048"	49.1567759890998	0.0819365154461794	0.309574202125852	0.264674882091337	0.791259928801185	0.999941140505314
"CRO_T100058"	23.6560964315515	0.0862222447072537	0.361142668861575	0.238748428644699	0.811300661792205	0.999941140505314
"CRO_T100065"	12.2504175273492	-0.257812219843929	0.52280366757723	-0.493133915908968	0.621917967878124	0.999941140505314
"CRO_T100066"	55.6173502466327	-0.0499452044053955	0.243070627731004	-0.205476099155295	0.83720016981213	0.999941140505314
"CRO_T100067"	8.18360959952783	0.272015257633009	0.640113638839409	0.424948385924412	0.67087430097483	0.999941140505314
"CRO_T100072"	9.78555447281201	0.0767107978816701	0.554450882792385	0.138354541876335	0.889960221751521	0.999941140505314
"CRO_T100074"	28.3858043289	0.134926973611593	0.334873011732134	0.402919820004847	0.687007210150497	0.999941140505314
"CRO_T100082"	46.9883515356902	-0.18120525807502	0.28018760842677	-0.646728308551802	0.517807798348678	0.999941140505314
"CRO_T100092"	18.8552707096975	0.491918150828033	0.441891020550246	1.11321146606576	0.265617619344629	0.999941140505314
"CRO_T100097"	387.705795351608	-0.228822887347185	0.138967215258464	-1.64659619120667	0.0996410738551852	0.999941140505314
"CRO_T100101"	35.1995420312063	0.0533118357780881	0.298947530220297	0.178331748513869	0.85846244670957	0.999941140505314
"CRO_T100103"	37.5915301717416	0.0489562412225791	0.292562840768586	0.167335814397916	0.867105825590574	0.999941140505314
"CRO_T100104"	261.511687757953	-0.459065843965979	0.393536989735024	-1.16651256664609	0.243407270748349	0.999941140505314
"CRO_T100106"	125.260180851968	-0.623296044271242	0.425863038463546	-1.46360681246254	0.143301410115211	0.999941140505314
"CRO_T100114"	25.936319219934	0.0806268760024477	0.376866163335541	0.213940342345519	0.830593579839538	0.999941140505314
"CRO_T100140"	106.596642742879	0.0356840780569178	0.307302939736943	0.116120197507593	0.907557281799526	0.999941140505314
"CRO_T100142"	59.0782790224779	0.0822350115851169	0.277025396128464	0.296850082102157	0.766580967852609	0.999941140505314
"CRO_T100144"	20.7878939824118	-0.226194671216145	0.390198231122227	-0.57969168790335	0.562122549695434	0.999941140505314
"CRO_T100145"	25.7986345693737	-0.186895088435917	0.346262789446415	-0.539749271744487	0.589369955367561	0.999941140505314
"CRO_T100150"	73.4483193668674	-0.312269870309781	0.325525138210957	-0.959280355507951	0.337417528969955	0.999941140505314
"CRO_T100151"	13.6582250127003	-0.100189806472427	0.485851103203471	-0.20621504368689	0.836622937223406	0.999941140505314
"CRO_T100158"	11.4023277891706	0.162994361262268	0.521801642040527	0.31236843300238	0.754760537772921	0.999941140505314
