target_id 	 Ck_1 	 CK_2 	 ET_1 	 ET_2 	 ET_3 
CRO_T100224	4	3	4	3	3
CRO_T100225	0	0	0	0	0
CRO_T100227	0	0	0	0	0
CRO_T100228	0	0	0	0	0
CRO_T100229	0	0	0	0	0
CRO_T100230	0	0	0	0	0
CRO_T100232	0	0	0	0	0
CRO_T100233	9	13	10	8	13
CRO_T100235	206	215	200	179	242
CRO_T100236	0	0	0	0	0
CRO_T100237	0	0	0	0	0
CRO_T100238	0	0	0	0	0
CRO_T100240	0	0	0	0	0
CRO_T100241	0	0	0	0	0
CRO_T100242	0	0	0	0	0
CRO_T100244	0	0	0	0	0
CRO_T100245	0	0	0	0	0
CRO_T100246	0	0	0	0	0
CRO_T100249	0	0	0	0	0
CRO_T100251	35	31	38	32	36
CRO_T100252	4	5	5	4	8
CRO_T100253	0	0	0	0	0
CRO_T100254	0	0	0	0	0
CRO_T100256	0	0	0	0	0
CRO_T100257	0	0	0	0	0
CRO_T100258	0	0	0	0	0
CRO_T100259	0	0	0	0	0
CRO_T100260	0	0	0	0	0
CRO_T100261	0	0	0	0	0
CRO_T100262	0	0	0	0	0
CRO_T100263	0	0	0	0	0
CRO_T100265	0	0	0	0	0
CRO_T100266	0	0	0	0	0
CRO_T100267	0	0	0	0	0
CRO_T100269	0	0	1	0	17
CRO_T100270	0	0	0	0	0
CRO_T100271	0	0	0	0	0
CRO_T100274	0	0	0	0	0
CRO_T100275	0	0	0	0	0
CRO_T100276	0	0	4	1	46
CRO_T100277	3	3	5	3	4
CRO_T100278	130	128	148	118	150
CRO_T100281	0	0	0	0	0
CRO_T100284	20	18	19	23	19
CRO_T100286	1	1	1	2	2
CRO_T100287	1	1	1	1	0
CRO_T100288	2	4	4	4	3
CRO_T100289	0	0	0	0	0
CRO_T100290	0	0	0	0	0
CRO_T100291	0	0	0	0	0
CRO_T100292	0	0	0	0	0
CRO_T100294	0	0	0	0	0
CRO_T100295	0	0	0	0	0
CRO_T100296	0	0	0	0	0
CRO_T100297	0	0	0	0	0
CRO_T100298	0	0	0	0	0
CRO_T100299	0	0	0	0	0
CRO_T100300	0	0	0	0	0
CRO_T100301	0	0	0	0	0
CRO_T100302	5	5	7	4	6
CRO_T100304	8	7	8	10	7
CRO_T100305	0	0	0	0	0
CRO_T100306	0	0	0	0	0
CRO_T100307	0	0	0	0	0
CRO_T100309	0	0	1	0	0
CRO_T100310	0	0	0	0	0
CRO_T100311	0	0	0	0	0
CRO_T100312	0	0	0	0	0
CRO_T100313	0	0	0	0	0
CRO_T100314	0	0	0	0	0
CRO_T100315	0	0	0	0	0
CRO_T100316	0	0	0	0	0
CRO_T100317	15	12	20	13	14
CRO_T100318	0	0	0	1	0
CRO_T100319	0	0	0	0	0
CRO_T100320	0	0	0	0	0
CRO_T100322	3	3	4	2	3
CRO_T100323	246	260	236	199	215
CRO_T100325	0	0	0	0	0
CRO_T100326	0	0	0	0	0
CRO_T100327	13	13	15	14	15
CRO_T100329	0	0	0	0	0
CRO_T100330	0	0	0	0	0
CRO_T100331	2	3	3	3	3
CRO_T100334	0	0	0	0	0
CRO_T100335	0	0	0	0	0
CRO_T100336	2	0	4	1	2
CRO_T100337	1	1	2	1	1
CRO_T100338	4	3	3	3	4
CRO_T100339	8	7	6	7	8
CRO_T100342	12	15	12	11	18
CRO_T100345	0	0	0	0	0
CRO_T100346	0	0	0	0	0
CRO_T100347	0	0	0	0	0
CRO_T100349	0	0	0	0	0
CRO_T100351	0	0	0	0	0
CRO_T100352	0	0	0	0	0
CRO_T100353	0	0	0	0	0
CRO_T100354	0	0	0	0	0
CRO_T100355	0	0	0	0	0
CRO_T100358	0	0	0	0	0
CRO_T100359	0	0	0	0	0
CRO_T100360	0	1	2	1	2
