target_id 	 Ck_1 	 CK_2 	 ET_1 	 ET_2 	 ET_3 
CRO_T106034	0	0	0	0	0
CRO_T106035	0	0	0	0	0
CRO_T106036	335	378	256	238	284
CRO_T106039	0	0	0	0	0
CRO_T106041	0	0	1	0	0
CRO_T106042	0	0	0	0	0
CRO_T106044	21	19	24	19	23
CRO_T106045	0	0	0	0	0
CRO_T106047	4	7	18	9	7
CRO_T106048	32	31	31	29	37
CRO_T106050	0	0	0	0	0
CRO_T106051	0	0	0	0	0
CRO_T106052	1	1	2	1	0
CRO_T106053	15	20	15	16	22
CRO_T106054	666	701	722	804	588
CRO_T106055	0	0	0	0	0
CRO_T106057	18	18	20	19	19
CRO_T106058	1	0	1	2	1
CRO_T106059	22	24	24	26	26
CRO_T106060	10	6	19	12	6
CRO_T106061	138	161	281	256	180
CRO_T106062	0	0	1	0	1
CRO_T106063	0	0	1	0	0
CRO_T106064	0	0	0	0	0
CRO_T106066	0	0	0	0	0
CRO_T106067	0	0	0	0	0
CRO_T106069	17	15	21	22	19
CRO_T106070	16	16	21	22	15
CRO_T106071	1	1	2	1	2
CRO_T106072	1	0	2	1	2
CRO_T106073	6	7	13	9	11
CRO_T106074	3	4	3	2	6
CRO_T106077	0	0	0	0	0
CRO_T106078	0	0	0	0	0
CRO_T106079	0	0	0	0	0
CRO_T106080	116	122	129	149	117
CRO_T106081	17	16	20	21	21
CRO_T106083	31	39	26	34	44
CRO_T106084	0	0	0	0	0
CRO_T106085	0	0	0	0	0
CRO_T106086	0	0	0	0	0
CRO_T106087	0	0	0	0	0
CRO_T106088	7	6	6	7	7
CRO_T106089	3538	3398	3048	3230	2912
CRO_T106090	13	15	17	16	21
CRO_T106091	56	56	69	57	71
CRO_T106092	33	37	10	26	30
CRO_T106093	0	0	0	0	0
CRO_T106094	0	0	0	0	0
CRO_T106096	99	107	113	103	91
CRO_T106098	2	4	2	1	6
CRO_T106099	1	0	0	0	0
CRO_T106100	3	3	5	3	5
CRO_T106101	0	1	1	1	0
CRO_T106102	0	0	0	0	0
CRO_T106104	15	13	13	16	12
CRO_T106105	0	0	0	0	0
CRO_T106107	0	0	0	0	0
CRO_T106108	0	1	0	0	0
CRO_T106109	0	0	0	0	0
CRO_T106110	0	0	1	0	1
CRO_T106112	2	2	3	4	3
CRO_T106113	0	0	0	0	1
CRO_T106114	206	208	234	239	212
CRO_T106116	5	3	3	5	5
CRO_T106117	39	39	48	45	41
CRO_T106118	7	6	5	5	6
CRO_T106119	27	27	30	28	33
CRO_T106120	0	0	0	0	0
CRO_T106121	0	0	0	0	0
CRO_T106122	0	0	0	0	0
CRO_T106123	54	56	64	60	69
CRO_T106124	0	0	0	0	0
CRO_T106125	0	0	0	0	0
CRO_T106126	100	91	106	118	127
CRO_T106127	0	0	0	0	0
CRO_T106128	14	11	14	11	14
CRO_T106129	113	97	236	160	151
CRO_T106130	10	8	11	11	12
CRO_T106131	757	605	737	724	563
CRO_T106132	0	0	0	0	0
CRO_T106133	14	12	11	11	13
CRO_T106134	5	4	4	5	4
CRO_T106135	4	3	4	3	4
CRO_T106136	148	137	143	154	135
CRO_T106138	1	1	2	1	1
CRO_T106139	21	20	23	16	26
CRO_T106140	6	5	6	5	7
CRO_T106141	23	18	23	24	20
CRO_T106142	8	11	10	12	10
CRO_T106143	16	16	15	15	17
CRO_T106144	715	745	619	824	651
CRO_T106146	0	0	0	0	0
CRO_T106147	0	0	0	0	0
CRO_T106148	0	0	0	0	0
CRO_T106152	0	0	0	0	0
CRO_T106154	1	1	1	1	1
CRO_T106155	2	1	1	1	3
CRO_T106156	41	45	41	37	41
CRO_T106157	1	1	1	1	2
CRO_T106160	4	3	3	2	4
CRO_T106162	1	1	1	1	1
CRO_T106163	14	12	15	12	13
CRO_T106164	0	0	1	0	0
CRO_T106165	0	0	0	0	0
CRO_T106166	0	0	0	0	0
CRO_T106167	0	0	0	0	0
CRO_T106168	0	0	0	0	0
CRO_T106169	26	26	23	28	23
CRO_T106171	0	0	0	0	0
CRO_T106172	0	0	0	0	0
CRO_T106174	15	15	18	17	19
CRO_T106175	2	1	1	1	1
CRO_T106176	2	1	2	3	2
CRO_T106177	0	0	0	0	0
CRO_T106178	0	0	0	0	0
CRO_T106179	0	0	0	0	0
CRO_T106180	0	0	0	0	0
CRO_T106181	0	0	0	0	0
CRO_T106182	5	5	10	6	4
CRO_T106183	0	0	0	0	0
CRO_T106184	0	0	0	0	0
CRO_T106185	0	0	0	0	0
CRO_T106186	6	6	16	11	8
CRO_T106187	15	13	16	19	15
CRO_T106188	0	0	0	0	0
CRO_T106189	0	0	0	0	0
CRO_T106190	0	0	0	0	0
CRO_T106191	25	24	26	27	26
CRO_T106192	8	10	10	10	13
CRO_T106193	0	0	0	0	0
CRO_T106194	28	28	36	39	33
CRO_T106195	0	0	0	0	0
CRO_T106197	0	0	0	0	0
CRO_T106200	28	26	26	25	31
CRO_T106201	26	25	26	21	31
CRO_T106202	2	3	3	4	2
CRO_T106203	0	0	0	0	0
CRO_T106204	1603	1760	1808	1401	1761
CRO_T106205	0	0	0	0	0
CRO_T106206	25	19	24	22	27
CRO_T106207	0	0	0	0	0
CRO_T106208	0	0	0	0	0
CRO_T106209	1	1	3	3	3
CRO_T106210	17	14	18	18	17
CRO_T106213	0	0	0	0	0
CRO_T106214	0	0	0	0	0
CRO_T106215	0	0	0	0	0
CRO_T106216	8	8	7	4	11
CRO_T106217	0	0	1	1	0
CRO_T106218	48	54	48	40	44
CRO_T106219	18	20	24	22	24
CRO_T106220	0	0	0	0	0
CRO_T106222	5	6	17	5	8
CRO_T106223	0	0	0	0	0
CRO_T106225	0	0	0	0	0
CRO_T106227	15	14	19	11	15
CRO_T106228	0	0	0	0	0
CRO_T106230	0	0	0	0	0
CRO_T106231	18	13	15	14	13
CRO_T106232	0	0	0	0	0
CRO_T106234	0	0	0	0	0
CRO_T106235	53	48	49	48	54
CRO_T106236	9	9	9	9	8
CRO_T106237	1	1	1	1	1
CRO_T106239	0	0	0	0	0
CRO_T106240	20	26	23	30	23
CRO_T106241	22	24	29	29	21
CRO_T106244	113	130	142	131	165
CRO_T106245	0	0	0	0	0
CRO_T106246	237	247	193	187	204
CRO_T106247	0	0	0	0	0
CRO_T106248	53	55	62	66	65
CRO_T106249	84	79	79	78	71
CRO_T106250	0	0	2	1	1
CRO_T106251	0	0	0	0	0
CRO_T106252	0	0	0	0	0
CRO_T106253	5	5	8	6	10
CRO_T106254	0	0	0	0	0
CRO_T106256	3	3	2	2	4
CRO_T106257	0	0	0	0	0
CRO_T106258	0	0	0	0	0
CRO_T106260	0	0	0	0	0
CRO_T106261	0	0	0	0	0
CRO_T106262	110	137	145	126	183
CRO_T106263	1	1	2	1	1
CRO_T106264	66	66	59	65	72
CRO_T106266	0	0	0	0	0
CRO_T106267	6	6	6	7	8
CRO_T106269	3	2	2	1	2
CRO_T106270	41	38	42	33	53
CRO_T106271	75	74	77	69	91
CRO_T106272	21	20	26	21	24
CRO_T106273	129	113	112	134	111
CRO_T106274	10	12	10	14	12
CRO_T106276	194	195	131	147	182
CRO_T106277	0	0	0	0	0
CRO_T106279	27	25	28	26	27
CRO_T106280	55	51	51	59	51
CRO_T106281	106	94	106	94	92
CRO_T106283	0	0	0	0	0
CRO_T106284	0	0	0	0	0
CRO_T106285	10	14	13	11	16
CRO_T106286	0	0	0	0	0
CRO_T106287	314	398	398	418	420
CRO_T106288	0	0	0	0	0
CRO_T106289	0	0	0	0	0
CRO_T106290	31	30	37	34	34
CRO_T106291	37	44	42	26	47
CRO_T106293	15	14	14	13	18
CRO_T106294	0	0	0	0	0
CRO_T106295	78	77	95	94	99
CRO_T106296	4	4	4	5	5
CRO_T106297	15	15	15	14	15
CRO_T106298	0	0	0	0	0
CRO_T106299	0	0	0	0	0
CRO_T106300	20	22	23	21	24
CRO_T106301	2	1	2	1	1
CRO_T106302	36	34	39	33	40
CRO_T106303	24	25	25	24	22
CRO_T106304	8	6	7	6	5
CRO_T106305	0	0	1	0	0
CRO_T106307	0	0	0	0	0
CRO_T106309	5	4	6	6	5
CRO_T106311	0	0	0	0	0
CRO_T106312	0	0	0	0	0
CRO_T106313	13	10	10	7	14
CRO_T106314	25	21	21	16	20
CRO_T106315	0	0	0	0	0
CRO_T106316	8	8	16	9	9
CRO_T106317	5	5	5	7	7
CRO_T106318	8	9	9	10	10
CRO_T106319	58	52	66	55	65
CRO_T106321	4	5	5	6	5
CRO_T106322	13	10	13	10	12
CRO_T106323	0	0	0	0	0
CRO_T106324	0	0	0	0	0
CRO_T106325	39	37	49	47	38
CRO_T106326	0	0	0	0	0
CRO_T106327	29	27	26	29	33
CRO_T106328	15	18	19	18	19
CRO_T106329	10	14	15	15	16
CRO_T106330	83	91	84	67	89
CRO_T106331	32	31	36	33	37
CRO_T106332	0	0	0	0	0
CRO_T106333	0	0	0	0	0
CRO_T106334	13	12	12	11	10
CRO_T106335	16	14	11	11	14
CRO_T106336	11	10	9	9	9
CRO_T106337	9	11	15	13	15
CRO_T106338	9	9	7	7	10
CRO_T106339	37	38	45	44	42
CRO_T106340	5	9	11	11	14
CRO_T106341	68	61	76	59	91
CRO_T106342	1	1	4	1	3
CRO_T106343	0	0	0	0	0
CRO_T106344	0	0	0	0	0
CRO_T106345	0	0	0	0	0
CRO_T106346	0	0	0	0	0
CRO_T106347	0	0	0	0	0
CRO_T106348	0	0	0	0	0
CRO_T106351	0	0	0	0	0
CRO_T106352	0	0	0	0	0
CRO_T106355	0	0	0	0	0
CRO_T106356	0	0	0	0	0
CRO_T106358	0	0	0	0	0
CRO_T106359	0	0	0	0	0
CRO_T106360	0	0	0	0	0
CRO_T106361	0	0	0	0	0
CRO_T106364	0	0	0	0	0
CRO_T106365	0	0	0	0	5
CRO_T106367	0	0	0	0	0
CRO_T106368	3	4	4	4	6
CRO_T106370	0	0	0	0	0
CRO_T106371	0	0	0	0	0
CRO_T106372	0	0	0	0	0
CRO_T106373	0	0	0	0	0
CRO_T106374	21	19	23	19	24
CRO_T106375	191	211	181	182	199
CRO_T106377	9	8	10	8	11
CRO_T106378	0	0	0	0	0
CRO_T106380	132	133	144	131	149
CRO_T106382	8	9	13	15	10
CRO_T106384	0	0	0	0	0
CRO_T106385	25	23	23	21	23
CRO_T106386	0	0	0	0	0
CRO_T106387	0	0	0	0	0
CRO_T106388	0	0	0	0	0
CRO_T106391	3	5	9	5	5
CRO_T106392	2	1	2	2	2
CRO_T106393	6	7	8	10	8
CRO_T106394	24	18	25	22	24
CRO_T106395	0	0	0	0	0
CRO_T106396	18	17	18	20	19
CRO_T106397	14	10	13	13	12
CRO_T106398	6	5	3	4	3
CRO_T106399	0	1	0	0	1
CRO_T106400	0	0	0	0	0
CRO_T106401	3	3	1	3	3
CRO_T106402	0	0	1	0	0
CRO_T106403	0	0	0	0	0
CRO_T106405	0	0	0	0	0
CRO_T106406	0	0	0	0	0
CRO_T106407	0	0	0	0	0
CRO_T106408	15	16	23	17	32
CRO_T106409	7	6	10	10	7
CRO_T106410	0	0	0	0	0
CRO_T106411	0	0	0	0	0
CRO_T106412	0	0	0	0	0
CRO_T106413	3	2	5	3	4
CRO_T106414	0	0	0	0	0
CRO_T106415	0	1	1	1	1
CRO_T106416	0	0	0	0	0
CRO_T106417	1	1	3	1	6
CRO_T106418	0	0	0	0	0
CRO_T106419	1	1	3	3	2
CRO_T106420	6	3	9	6	5
CRO_T106422	0	0	0	0	0
CRO_T106423	152	177	155	141	167
CRO_T106425	0	1	0	0	0
CRO_T106426	5	4	4	3	3
CRO_T106428	4	4	5	4	5
CRO_T106431	0	0	0	0	0
CRO_T106432	0	0	0	0	0
CRO_T106434	0	0	0	0	0
CRO_T106435	0	0	0	0	0
CRO_T106436	23	22	27	25	26
CRO_T106437	0	0	0	0	0
CRO_T106438	51	46	15	33	23
CRO_T106439	0	0	0	0	0
CRO_T106440	20	22	18	17	20
CRO_T106441	8	11	12	10	12
CRO_T106443	0	0	0	0	0
CRO_T106444	5	5	6	5	7
CRO_T106445	0	1	0	0	0
CRO_T106448	0	0	0	0	0
CRO_T106450	0	0	0	0	0
CRO_T106452	0	0	0	0	0
CRO_T106453	9	11	14	13	12
CRO_T106454	23	20	27	25	25
CRO_T106455	4	4	4	3	4
CRO_T106456	5	4	6	6	7
CRO_T106457	0	0	0	0	0
CRO_T106458	0	0	0	0	0
CRO_T106459	0	0	0	0	0
CRO_T106460	22	17	18	20	19
CRO_T106461	62	62	72	66	78
CRO_T106463	0	0	0	0	0
CRO_T106464	0	0	0	0	0
CRO_T106465	0	0	0	0	0
CRO_T106466	0	0	0	0	0
CRO_T106468	0	0	0	0	0
CRO_T106471	7	7	7	6	7
CRO_T106472	9	7	6	5	6
CRO_T106473	0	0	0	0	0
CRO_T106475	19	19	23	24	24
CRO_T106476	6	8	8	9	5
CRO_T106477	20	21	21	16	26
CRO_T106478	2	3	3	0	4
CRO_T106479	0	0	0	0	0
CRO_T106480	27	24	32	30	30
CRO_T106481	36	36	39	40	40
CRO_T106482	7	10	9	7	11
CRO_T106483	104	98	90	97	81
CRO_T106484	0	0	0	0	0
CRO_T106485	4	4	5	4	4
CRO_T106486	1	2	2	2	2
CRO_T106487	77	80	71	62	89
CRO_T106488	4	2	3	2	5
CRO_T106489	58	67	68	71	56
CRO_T106490	0	0	0	0	0
CRO_T106491	2	1	3	0	1
CRO_T106492	0	0	0	0	0
CRO_T106493	0	0	0	0	0
CRO_T106494	112	91	99	92	90
CRO_T106497	72	54	64	63	61
CRO_T106498	13	10	13	12	10
CRO_T106499	0	0	0	0	0
CRO_T106500	0	0	0	0	0
CRO_T106502	7	6	9	8	9
CRO_T106503	1	3	4	3	2
CRO_T106504	1	1	1	1	1
CRO_T106505	5	2	4	4	4
CRO_T106506	7	5	10	5	9
CRO_T106507	8	7	10	6	7
CRO_T106509	8	9	8	9	10
CRO_T106510	0	0	0	0	0
CRO_T106511	0	0	0	0	0
CRO_T106512	0	0	0	0	0
CRO_T106514	0	0	0	0	0
CRO_T106515	0	0	0	0	0
CRO_T106516	1	2	2	1	1
CRO_T106517	0	0	0	0	0
CRO_T106519	0	0	0	0	0
CRO_T106523	0	0	0	0	0
CRO_T106524	0	0	0	0	0
CRO_T106525	0	0	0	0	0
CRO_T106526	236	214	196	225	182
CRO_T106527	20	17	20	20	20
CRO_T106529	0	0	0	0	0
CRO_T106530	0	0	0	0	0
CRO_T106531	0	0	0	0	0
CRO_T106533	0	0	0	0	0
CRO_T106534	6	8	10	9	9
CRO_T106536	2	1	3	3	3
CRO_T106537	0	0	0	0	0
CRO_T106539	0	0	0	0	0
CRO_T106540	0	0	0	0	0
CRO_T106541	0	0	0	0	0
CRO_T106542	0	0	0	0	0
CRO_T106543	1	0	0	1	0
CRO_T106544	13	15	15	17	18
CRO_T106545	40	37	39	42	41
CRO_T106546	0	0	0	0	0
CRO_T106547	39	39	32	36	50
CRO_T106548	0	0	0	0	0
CRO_T106550	0	0	0	0	0
CRO_T106551	0	0	0	0	0
CRO_T106552	0	0	0	0	0
CRO_T106553	0	0	2	2	2
CRO_T106554	0	0	0	0	0
CRO_T106555	13	14	18	17	16
CRO_T106557	0	0	0	0	0
CRO_T106558	0	0	0	0	0
CRO_T106559	0	0	0	0	0
CRO_T106560	0	0	0	0	0
CRO_T106561	0	0	0	0	0
CRO_T106562	0	0	0	0	0
CRO_T106563	0	0	0	0	0
CRO_T106564	0	0	0	0	0
CRO_T106565	0	0	0	0	0
CRO_T106566	0	0	0	0	0
CRO_T106567	0	0	0	0	0
CRO_T106569	0	0	0	0	0
CRO_T106570	0	0	0	0	0
CRO_T106572	0	0	0	0	0
CRO_T106573	0	0	0	0	0
CRO_T106574	22	19	26	24	22
CRO_T106575	3	2	2	3	2
CRO_T106576	26	21	25	24	26
CRO_T106578	0	0	0	0	0
CRO_T106580	0	0	0	0	0
CRO_T106582	29	27	30	34	37
CRO_T106584	0	0	0	0	0
CRO_T106585	0	0	0	0	0
CRO_T106586	0	0	0	0	0
CRO_T106588	0	0	0	0	0
CRO_T106590	3	4	6	5	4
CRO_T106591	8	10	11	10	8
CRO_T106592	0	0	0	0	0
CRO_T106593	0	0	0	0	0
CRO_T106594	0	0	0	0	0
CRO_T106595	0	0	0	0	0
CRO_T106596	0	0	0	0	0
CRO_T106598	29	29	28	31	37
CRO_T106599	0	0	0	0	0
CRO_T106600	21	20	22	21	18
CRO_T106601	3	2	2	2	1
CRO_T106602	5	7	8	8	6
CRO_T106603	0	0	0	0	0
CRO_T106604	0	0	0	0	0
CRO_T106605	0	0	0	0	0
CRO_T106606	0	0	0	0	0
CRO_T106607	1	1	6	5	4
CRO_T106608	0	0	0	0	0
CRO_T106609	0	0	0	0	0
CRO_T106610	0	0	0	0	0
CRO_T106612	0	0	0	0	0
CRO_T106613	0	0	0	0	0
CRO_T106614	0	0	0	0	0
CRO_T106616	0	0	0	0	0
CRO_T106617	0	0	0	0	0
CRO_T106618	10	8	11	14	13
CRO_T106619	15	11	16	13	14
CRO_T106620	0	0	0	0	0
CRO_T106622	0	0	3	1	0
CRO_T106624	1	0	2	2	1
CRO_T106625	0	0	0	0	0
CRO_T106626	25	35	33	29	41
CRO_T106628	0	0	0	0	0
CRO_T106630	0	0	0	0	0
CRO_T106631	0	0	0	0	0
CRO_T106632	0	0	0	0	0
CRO_T106635	10	8	12	11	11
CRO_T106636	0	0	0	0	0
CRO_T106637	12	13	12	13	12
CRO_T106640	77	101	83	78	82
CRO_T106641	21	17	25	27	23
CRO_T106643	2	2	4	2	2
CRO_T106644	8	8	9	8	9
CRO_T106645	7	6	5	5	7
CRO_T106646	23	23	24	20	28
CRO_T106647	8	7	7	8	11
CRO_T106648	28	25	37	31	29
CRO_T106649	0	0	0	0	0
CRO_T106650	22	15	19	19	18
CRO_T106651	0	0	0	0	0
CRO_T106652	0	0	0	0	0
CRO_T106653	0	0	0	0	0
CRO_T106655	33	37	39	35	43
CRO_T106656	0	0	0	0	0
CRO_T106657	96	89	112	89	90
CRO_T106659	0	0	0	0	0
CRO_T106660	1	2	3	3	2
CRO_T106661	0	0	0	0	0
CRO_T106662	147	136	190	172	150
CRO_T106663	6	6	9	6	8
CRO_T106664	7	7	38	11	18
CRO_T106666	0	0	0	0	0
CRO_T106668	0	0	0	0	0
CRO_T106669	0	0	1	0	2
CRO_T106670	95	101	95	86	97
CRO_T106671	0	0	0	0	0
CRO_T106672	0	0	0	0	0
CRO_T106675	38	37	45	42	43
CRO_T106676	0	0	0	0	0
CRO_T106677	2	2	2	1	2
CRO_T106678	13	13	15	11	22
CRO_T106679	21	18	26	22	21
CRO_T106680	4	6	6	6	8
CRO_T106682	1619	1767	1549	1769	1510
CRO_T106683	0	0	0	0	0
CRO_T106684	0	0	0	0	0
CRO_T106685	0	0	1	0	0
CRO_T106686	8	12	9	6	10
CRO_T106687	0	0	0	0	0
CRO_T106688	3	4	4	4	4
CRO_T106689	22	22	23	23	22
CRO_T106690	17	18	17	19	19
CRO_T106692	13	14	14	14	13
CRO_T106693	2	3	3	3	3
CRO_T106694	3	4	4	6	5
CRO_T106695	29	37	38	26	39
CRO_T106696	0	0	0	0	0
CRO_T106698	0	0	0	0	0
CRO_T106699	16	17	22	22	23
CRO_T106700	21	23	30	27	28
CRO_T106701	0	0	0	0	0
CRO_T106702	0	0	0	0	0
CRO_T106703	0	0	0	0	0
CRO_T106704	7	6	7	6	7
CRO_T106705	0	0	0	0	0
CRO_T106706	4	3	4	3	4
CRO_T106708	0	0	0	0	0
CRO_T106709	0	0	0	0	0
CRO_T106710	0	0	0	0	0
CRO_T106711	3	3	3	3	2
CRO_T106712	0	0	0	0	0
CRO_T106713	0	0	0	0	0
CRO_T106714	0	0	0	0	0
CRO_T106715	10	10	13	12	15
CRO_T106716	44	48	51	42	64
CRO_T106717	0	0	0	0	0
CRO_T106720	11	10	10	11	8
CRO_T106721	292	266	282	289	293
CRO_T106722	0	0	0	0	0
CRO_T106723	0	0	0	0	0
CRO_T106724	2	2	2	1	3
CRO_T106725	0	0	0	0	0
CRO_T106726	17	18	21	24	22
CRO_T106727	16	13	18	15	16
CRO_T106728	0	0	0	0	0
CRO_T106729	20	21	27	18	19
CRO_T106731	0	0	0	0	0
CRO_T106732	0	0	0	0	0
CRO_T106733	0	0	0	0	0
CRO_T106734	0	0	0	0	0
CRO_T106735	44	43	39	51	40
CRO_T106737	0	0	0	0	0
CRO_T106739	0	0	0	0	0
CRO_T106740	0	0	0	0	0
CRO_T106741	0	0	0	0	0
CRO_T106742	0	0	0	0	0
CRO_T106743	0	0	0	0	0
CRO_T106745	20	19	24	24	21
CRO_T106746	0	0	1	0	0
CRO_T106747	0	0	0	0	0
CRO_T106748	21	15	13	19	19
CRO_T106749	39	31	36	41	39
CRO_T106750	12	12	12	11	14
CRO_T106751	0	0	0	0	0
CRO_T106753	0	0	0	1	0
CRO_T106754	0	0	0	0	0
CRO_T106755	0	0	0	0	0
CRO_T106756	0	0	0	0	0
CRO_T106757	0	0	0	0	0
CRO_T106758	0	0	0	0	0
CRO_T106759	0	0	0	0	0
CRO_T106760	0	0	0	0	0
CRO_T106761	0	0	0	0	0
CRO_T106763	0	0	0	0	0
CRO_T106764	0	0	0	0	0
CRO_T106765	0	0	0	0	0
CRO_T106766	0	0	0	0	0
CRO_T106767	0	0	0	0	0
CRO_T106769	0	0	0	0	0
CRO_T106770	0	0	0	0	0
CRO_T106771	0	0	0	0	0
CRO_T106773	0	0	0	0	0
CRO_T106774	0	0	0	0	0
CRO_T106775	0	0	0	0	0
CRO_T106776	0	0	0	0	0
CRO_T106777	0	0	0	0	0
CRO_T106778	0	0	0	0	0
CRO_T106779	0	0	0	0	0
CRO_T106781	0	0	0	0	0
CRO_T106783	0	0	0	0	0
CRO_T106784	0	0	0	0	0
CRO_T106785	0	0	0	0	0
CRO_T106786	0	0	0	0	0
CRO_T106787	0	0	0	0	0
CRO_T106788	0	0	0	0	0
CRO_T106789	0	0	0	0	0
CRO_T106790	0	0	0	0	0
CRO_T106793	0	0	0	0	0
CRO_T106794	30	28	38	32	31
CRO_T106795	9	9	11	12	12
CRO_T106797	0	0	0	0	0
CRO_T106798	17	17	18	21	18
CRO_T106799	0	0	0	0	0
CRO_T106800	0	0	0	0	0
CRO_T106801	0	0	0	0	0
CRO_T106806	0	0	0	0	0
CRO_T106807	18	20	22	22	20
CRO_T106808	21	22	23	22	29
CRO_T106809	0	1	1	0	1
CRO_T106810	0	0	0	0	0
CRO_T106811	0	0	0	0	0
CRO_T106813	0	0	0	0	0
CRO_T106814	24	25	28	26	28
CRO_T106815	0	0	0	0	0
CRO_T106816	0	0	0	0	0
CRO_T106817	0	0	0	0	0
CRO_T106818	11	8	10	11	9
CRO_T106819	10	9	3	2	1
CRO_T106820	33	23	37	39	27
CRO_T106821	25	27	27	26	27
CRO_T106822	12	11	17	17	14
CRO_T106824	0	0	0	0	0
CRO_T106825	0	0	0	0	0
CRO_T106826	0	0	1	0	0
CRO_T106828	1	1	3	2	3
CRO_T106829	1	1	3	2	2
CRO_T106830	1	0	1	2	1
CRO_T106831	2	1	1	1	2
CRO_T106832	0	0	0	0	0
CRO_T106833	0	0	0	0	0
CRO_T106834	136	110	132	149	103
CRO_T106835	0	0	0	0	0
CRO_T106836	0	0	0	0	0
CRO_T106837	156	149	265	213	209
CRO_T106838	0	0	0	0	0
CRO_T106839	23	22	26	20	26
CRO_T106840	2	3	3	2	2
CRO_T106841	0	0	0	0	0
CRO_T106842	0	0	0	0	0
CRO_T106843	0	0	0	0	0
CRO_T106844	0	0	0	0	0
CRO_T106845	0	0	0	0	0
CRO_T106846	19	16	41	24	24
CRO_T106847	8	8	8	7	10
CRO_T106848	0	0	0	0	0
CRO_T106849	12	9	11	9	11
CRO_T106850	4	3	4	4	3
CRO_T106851	0	0	0	0	0
CRO_T106853	0	0	0	0	0
CRO_T106854	3	2	8	3	5
CRO_T106855	0	0	0	0	0
CRO_T106856	2	1	3	2	3
CRO_T106857	17	14	20	19	17
CRO_T106858	69	67	63	51	81
CRO_T106859	0	0	0	0	0
CRO_T106860	228	193	294	239	256
CRO_T106861	7	2	6	4	8
CRO_T106862	0	0	0	0	0
CRO_T106864	0	0	0	0	0
CRO_T106865	45	39	56	51	49
CRO_T106866	0	0	0	0	0
CRO_T106867	0	0	0	0	0
CRO_T106870	0	0	0	0	0
CRO_T106871	0	0	0	0	0
CRO_T106873	18	18	13	20	18
CRO_T106876	10	10	16	14	13
CRO_T106877	0	0	0	0	0
CRO_T106878	0	0	0	0	0
CRO_T106879	0	0	0	0	0
CRO_T106880	0	0	0	0	0
CRO_T106881	0	0	0	0	0
CRO_T106882	28	15	30	37	20
CRO_T106883	0	0	0	0	0
CRO_T106884	0	0	0	0	0
CRO_T106885	0	0	0	0	0
CRO_T106886	15	20	18	15	20
CRO_T106887	0	0	0	0	0
CRO_T106888	7	6	7	7	8
CRO_T106889	154	150	167	133	166
CRO_T106892	0	0	0	0	0
CRO_T106893	0	0	0	0	0
CRO_T106894	0	0	0	0	0
CRO_T106895	0	0	0	0	0
CRO_T106896	0	0	0	0	0
CRO_T106897	0	0	0	0	0
CRO_T106898	0	0	0	0	0
CRO_T106899	0	0	0	0	0
CRO_T106900	0	0	0	0	0
CRO_T106901	0	0	0	0	0
CRO_T106903	91	83	95	103	78
CRO_T106904	0	0	0	0	0
CRO_T106905	0	0	0	0	0
CRO_T106906	0	0	0	0	0
CRO_T106907	3	3	4	4	3
CRO_T106908	0	0	0	0	0
CRO_T106909	0	0	0	0	0
CRO_T106910	0	0	0	0	0
CRO_T106911	5	9	7	7	7
CRO_T106912	106	102	107	89	108
CRO_T106913	34	29	31	30	30
CRO_T106914	12	12	16	15	15
CRO_T106915	0	0	0	0	0
CRO_T106916	98	97	114	130	118
CRO_T106917	6	8	5	6	7
CRO_T106918	29	29	36	33	34
CRO_T106921	15	19	12	13	19
CRO_T106922	0	0	0	0	0
CRO_T106923	12	10	22	11	20
CRO_T106924	0	0	0	0	0
CRO_T106925	4	5	4	4	5
CRO_T106927	0	0	0	0	0
CRO_T106928	3	4	3	2	4
CRO_T106929	0	0	0	0	0
CRO_T106930	0	1	9	3	5
CRO_T106931	1	2	1	1	1
CRO_T106932	0	0	0	0	0
CRO_T106933	0	0	0	0	3
CRO_T106934	65	81	93	67	103
CRO_T106935	0	0	0	0	0
CRO_T106936	0	0	3	1	1
CRO_T106937	6	6	14	7	12
CRO_T106938	0	0	0	0	0
CRO_T106939	0	0	0	0	0
CRO_T106940	6	5	6	5	6
CRO_T106941	58	66	62	72	75
CRO_T106942	0	0	0	0	0
CRO_T106943	7	5	8	7	6
CRO_T106944	12	8	11	8	6
CRO_T106945	27	21	31	24	21
CRO_T106947	89	93	101	79	106
CRO_T106948	24	25	28	23	27
CRO_T106949	0	0	0	0	0
CRO_T106950	5	5	4	3	9
CRO_T106951	65	71	75	65	80
CRO_T106952	93	94	92	69	100
CRO_T106953	30	32	30	26	30
CRO_T106954	425	446	388	519	415
CRO_T106955	65	58	73	65	66
CRO_T106956	8	7	8	8	9
CRO_T106957	0	0	0	0	0
CRO_T106958	0	0	3	1	1
CRO_T106960	0	0	0	0	3
CRO_T106961	3	5	5	3	6
CRO_T106962	4	5	6	6	5
CRO_T106963	49	40	41	47	34
CRO_T106964	113	120	132	60	213
CRO_T106965	9	10	11	13	10
CRO_T106966	40	39	40	39	41
CRO_T106967	36	37	34	27	37
CRO_T106968	17	19	18	16	21
CRO_T106969	0	0	0	0	0
CRO_T106970	0	0	0	0	0
CRO_T106971	0	0	0	0	0
CRO_T106972	0	0	0	0	0
CRO_T106974	0	0	0	0	1
CRO_T106975	0	0	0	0	0
CRO_T106976	0	0	0	0	0
