baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T116483	14.5457538	-0.028112467	0.619897527	-0.045350184	0.963828188	0.999986415
CRO_T109959	14.51348216	-0.030512946	0.672957695	-0.045341552	0.963835068	0.999986415
CRO_T135490	19.79499147	-0.024040686	0.530390893	-0.045326356	0.96384718	0.999986415
CRO_T139624	17.1795861	-0.02558144	0.565731446	-0.045218346	0.963933272	0.999986415
CRO_T135900	505.3505557	-0.009193779	0.203446696	-0.045190113	0.963955775	0.999986415
CRO_T127781	14.54850188	-0.027763311	0.614999232	-0.045143652	0.963992808	0.999986415
CRO_T122533	10.39002115	-0.032399207	0.718598382	-0.045086669	0.964038227	0.999986415
CRO_T131502	15.61533572	-0.026840313	0.595398921	-0.045079545	0.964043905	0.999986415
CRO_T137525	92.81697485	-0.014556615	0.323878244	-0.044944714	0.964151376	0.999986415
CRO_T139040	44.32063032	-0.017395986	0.388736729	-0.044750045	0.964306543	0.999986415
CRO_T113713	19.76918209	-0.023730182	0.531152523	-0.044676776	0.964364945	0.999986415
CRO_T120912	8.782908501	-0.035611619	0.797973279	-0.044627584	0.964404156	0.999986415
CRO_T140631	75.84448035	-0.013611327	0.306054513	-0.044473538	0.964526945	0.999986415
CRO_T113517	36.55693056	-0.018002756	0.408716271	-0.044047076	0.964866879	0.999986415
CRO_T118982	17.1565248	-0.024958346	0.566993263	-0.04401877	0.964889442	0.999986415
CRO_T105933	7.769981408	-0.036386372	0.831300992	-0.043770394	0.965087427	1
CRO_T133849	59.57537556	-0.014406481	0.329552396	-0.043715298	0.965131345	0.999986415
CRO_T137082	15.53699363	-0.027207153	0.623063745	-0.043666725	0.965170063	0.999986415
CRO_T116536	17.17495173	-0.024604675	0.564782752	-0.043564848	0.965251272	0.999986415
CRO_T103432	7.771355449	-0.036076544	0.82923925	-0.043505591	0.965298508	1
CRO_T121515	8.802709473	-0.034638438	0.797287044	-0.04344538	0.965346504	0.999986415
CRO_T129948	12.99667002	-0.027983619	0.645547195	-0.043348681	0.965423586	0.999986415
