baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T134933	15.97917694	-0.229891372	0.578745384	-0.397223681	0.691202521	0.9998771
CRO_T133091	15.9772067	-0.230105129	0.579567731	-0.397028883	0.691346162	0.9998771
CRO_T124132	120.0016683	-0.091355985	0.230128722	-0.396977764	0.691383858	0.9998771
CRO_T112335	53.26701222	-0.129995846	0.327898263	-0.396451768	0.691771783	0.9998771
CRO_T137021	25.34727804	-0.183984439	0.464098788	-0.396433785	0.691785047	0.9998771
CRO_T128819	109.829565	-0.09613104	0.242517985	-0.396387262	0.691819362	0.9998771
CRO_T102210	14.96861961	-0.238000977	0.600535023	-0.396314899	0.691872738	0.9998771
CRO_T134886	15.97384669	-0.228893959	0.577717809	-0.396203744	0.69195473	0.9998771
CRO_T129510	130.5492367	-0.088329091	0.222999168	-0.396096058	0.692034167	0.9998771
CRO_T104362	13.96021499	-0.246986605	0.623668913	-0.396021992	0.692088805	0.9998771
CRO_T120052	7.190679918	-0.344388882	0.869857206	-0.395914271	0.692168273	1
CRO_T130509	25.35787771	-0.185284742	0.468331274	-0.395627524	0.692379829	0.9998771
CRO_T112320	15.97523647	-0.230324029	0.582286923	-0.395550749	0.692436476	0.9998771
