	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T103207	22.32643869	-2.83512427	1.336460275	-2.121368158	0.033890833	0.572950888
CRO_T121212	1492.981541	-0.314554208	0.148310768	-2.120912818	0.03392914	0.572950888
CRO_T127072	139.5463862	-0.485978386	0.229331982	-2.119104287	0.034081654	0.574493095
CRO_T103939	2.568059621	4.105384603	1.938231635	2.118108347	0.034165893	1
CRO_T107083	90.38586557	0.564374134	0.266505518	2.117682738	0.034201946	0.575487579
CRO_T107110	318.559274	-0.371313868	0.175518933	-2.115520316	0.034385625	0.577543176
CRO_T132127	271.6898367	-0.459652978	0.217514558	-2.113205583	0.034583176	0.579823993
CRO_T103693	15.05596286	1.544326565	0.731423848	2.111397611	0.03473815	0.581384122
CRO_T110948	13.84971348	1.925121637	0.912096818	2.110654921	0.034801983	0.581416052
CRO_T131777	57.75411709	0.634509188	0.300826009	2.109223171	0.034925323	0.581879802
CRO_T117295	3982.850051	-0.279131095	0.132358968	-2.108894473	0.034953691	0.581879802
CRO_T106126	119.6585604	0.467665517	0.221846957	2.10805469	0.035026259	0.582055835
CRO_T129272	353.0556193	0.350833081	0.166685015	2.10476677	0.035311615	0.585761049
CRO_T117274	45.66467957	-0.735030851	0.349455393	-2.103361019	0.035434223	0.58675824
CRO_T118201	163.8273533	-0.489290139	0.232746791	-2.102242258	0.03553206	0.587342446
CRO_T110994	46.57967693	-0.762256857	0.362984354	-2.099971663	0.035731334	0.589269614
CRO_T139339	29.25635467	0.872255269	0.415461541	2.099484988	0.03577417	0.589269614
CRO_T131573	28.69699975	1.130084257	0.538555667	2.098361094	0.035873259	0.589866958
CRO_T140859	31.42348516	0.838659517	0.399952152	2.096899625	0.036002462	0.590956491
CRO_T101224	58.61420858	0.646301681	0.30865633	2.093920059	0.036267102	0.594261468
CRO_T101317	10.12623078	1.702026694	0.813367291	2.092568403	0.0363877	1
CRO_T107914	70.88875367	0.582160303	0.278341418	2.091533153	0.036480298	0.596713441
CRO_T103461	452.8764148	-0.318792559	0.152777365	-2.08664785	0.036919979	0.602855093
CRO_T132054	47.13626249	-0.675538615	0.323902592	-2.085622753	0.037012809	0.603321633
CRO_T116380	253.8741469	-0.372716966	0.178860042	-2.083847019	0.037174085	0.604900317
CRO_T105190	6.645606378	2.278216324	1.093441456	2.083528396	0.037203086	1
CRO_T113190	52.43285059	-0.651045779	0.313038139	-2.079765043	0.037547089	0.609191681
CRO_T113897	5.724584739	2.060218437	0.990692647	2.079573764	0.037564645	1
CRO_T123618	31.73534614	-0.820630994	0.394621057	-2.079541829	0.037567577	0.609191681
CRO_T132705	14.91555667	-1.177390811	0.566449385	-2.078545482	0.037659146	0.609623664
CRO_T138750	533.3964377	0.380453553	0.18312191	2.077597127	0.037746481	0.609985732
CRO_T113842	81.07158067	-0.564707386	0.272069099	-2.075602811	0.037930701	0.611909543
CRO_T137235	62.55646161	-0.673878994	0.325192803	-2.072244491	0.038242646	0.615883714
CRO_T109963	186.7621854	0.54437758	0.26289843	2.070676423	0.038389045	0.61718278
CRO_T113751	94.53241202	-0.498059109	0.240886579	-2.067608383	0.038676863	0.620747125
CRO_T122648	151.051688	0.413531522	0.200093313	2.066693358	0.038763057	0.621068851
CRO_T137511	4.626553883	2.243849221	1.086352661	2.06548877	0.038876777	1
CRO_T107799	36.27526698	0.774679128	0.376163062	2.059423711	0.039453666	0.629806982
CRO_T129975	100.7610855	0.633616505	0.307686545	2.059292211	0.039466254	0.629806982
CRO_T127877	50.63622371	-0.651126699	0.316259176	-2.058838917	0.039509672	0.629806982
CRO_T128639	64.23661886	0.703594994	0.341902163	2.057884011	0.039601269	0.630197143
CRO_T140523	323.1833647	-0.373005536	0.181409265	-2.056154824	0.039767595	0.630717406
CRO_T103632	76.08248481	0.533804369	0.259613868	2.05614736	0.039768314	0.630717406
CRO_T119236	30.09405584	0.862351622	0.419664602	2.054859091	0.039892617	0.631621886
CRO_T113595	70.66358534	-0.546150607	0.265892609	-2.054027036	0.039973075	0.631830306
CRO_T133411	4.774302961	3.423071994	1.666535358	2.054005021	0.039975206	1
CRO_T106314	28.9816833	0.825445898	0.402077122	2.052954156	0.040077024	0.632408701
CRO_T129109	7.836186155	-1.607793271	0.783568727	-2.051885451	0.040180796	1
CRO_T112480	54.74839769	-0.639164735	0.312137999	-2.047699216	0.040589481	0.638730811
CRO_T117131	23.49558287	0.922513781	0.450648524	2.047080446	0.040650187	0.638730811
CRO_T140305	548.067795	0.334298428	0.16333063	2.046758951	0.040681758	0.638730811
CRO_T111548	3.603081531	2.79641341	1.366536929	2.046350413	0.040721907	1
CRO_T110904	68.0278286	0.595417324	0.291113459	2.045310193	0.040824286	0.639424062
CRO_T133499	39.55670931	-0.744943005	0.364288427	-2.044926355	0.040862119	0.639424062
CRO_T131857	4.471796313	2.392916279	1.170228271	2.044828636	0.040871756	1
CRO_T124094	91.35938707	-0.489580782	0.239544216	-2.04380131	0.04097318	0.640095148
CRO_T127984	6.857895621	2.278133007	1.114823431	2.043492218	0.041003737	1
CRO_T121120	5.105289494	2.240294275	1.096920884	2.042348093	0.041117015	1
CRO_T109953	65.21814538	-0.589563811	0.288771289	-2.041628903	0.041188356	0.642387832
CRO_T118030	3.757639598	-2.993511077	1.467110533	-2.040412778	0.04130923	1
CRO_T113585	598.2032702	-0.392281571	0.192507581	-2.037746095	0.041575332	0.64734791
CRO_T119963	5.87617305	1.924646357	0.947003819	2.032353322	0.0421179	1
CRO_T122576	28.86646749	-0.836597967	0.411904599	-2.031047894	0.042250136	0.65676578
CRO_T122565	35.80708205	0.811055517	0.399762793	2.028841932	0.042474393	0.659160452
CRO_T129423	68.20235054	-0.625107101	0.308341743	-2.027319087	0.042629791	0.660480371
CRO_T132908	139.205635	0.437279142	0.216050957	2.023962998	0.042973959	0.664027477
CRO_T131119	152.7482456	-0.480492934	0.237453097	-2.023527766	0.043018764	0.664027477
CRO_T129910	1220.125616	-0.373153508	0.184453533	-2.023021745	0.043070906	0.664027477
CRO_T134321	7.233861595	1.738737322	0.859880715	2.022068052	0.043169322	1
CRO_T124532	73.44061684	0.530387892	0.26231868	2.021921935	0.043184417	0.664686056
CRO_T138945	28.87256288	-0.832132864	0.412271436	-2.01841018	0.04354856	0.669193831
CRO_T109780	19.81970846	-1.007323655	0.499344052	-2.017293789	0.043664863	0.669697666
CRO_T122313	38.17574141	-0.784143494	0.388819839	-2.016727068	0.043724004	0.669697666
CRO_T137864	12.12234829	1.268839521	0.629282725	2.016326636	0.043765831	1
CRO_T115280	9.974911415	1.424635447	0.706889565	2.015357869	0.043867166	1
CRO_T108413	11.39514767	-1.416451387	0.70291075	-2.015122671	0.043891797	1
CRO_T130213	95.637028	-0.47156574	0.234322769	-2.012462307	0.044171226	0.671013484
CRO_T127036	44.542419	0.681521176	0.338800413	2.01157127	0.04426515	0.671013484
CRO_T138705	11.06511516	1.464883015	0.728304746	2.011359973	0.044287448	1
CRO_T103910	322.7440946	-0.348806745	0.173418901	-2.011353678	0.044288112	0.671013484
CRO_T106749	45.3010172	0.676889944	0.336572866	2.011124524	0.044312305	0.671013484
CRO_T134891	2773.194796	-0.331612335	0.164892327	-2.01108409	0.044316575	0.671013484
CRO_T109042	34.90372991	0.745666086	0.370829472	2.010805888	0.044345964	0.671013484
CRO_T117189	228.7412443	0.355441206	0.176780766	2.010632803	0.044364257	0.671013484
CRO_T109159	2365.257043	-0.306175894	0.15229084	-2.010468219	0.044381657	0.671013484
CRO_T140746	19.1316852	-1.007953454	0.501786217	-2.008730851	0.044565685	0.672712569
CRO_T116865	5.710176737	2.088684036	1.040618796	2.007155784	0.044733078	1
CRO_T110197	35.90072445	-0.774817515	0.386249367	-2.006003325	0.044855893	0.676006391
CRO_T106401	5.999995245	1.880890605	0.937975699	2.005265815	0.044934637	1
CRO_T138629	194.6068327	-0.356281745	0.177724144	-2.004689608	0.04499624	0.677034774
CRO_T118811	33.38361026	0.757512318	0.378333209	2.002235862	0.04525937	0.679904365
CRO_T117010	5757.10966	-0.262638227	0.131243778	-2.001148023	0.04537644	0.680574119
CRO_T140412	1.750210638	4.591410228	2.296268579	1.999509234	0.045553284	1
CRO_T117793	2825.054078	-0.269330943	0.134943257	-1.995882931	0.045946667	0.687273594
CRO_T116851	23.80282138	0.893368845	0.447652902	1.995673078	0.045969519	0.687273594
CRO_T116096	249.7459122	-0.423882726	0.212485792	-1.994875621	0.046056447	0.687478508
CRO_T106480	34.64695821	0.741994085	0.372185144	1.993615538	0.046194086	0.68843853
CRO_T119382	227.595368	0.500037272	0.250970533	1.992414276	0.046325622	0.688572276
CRO_T116500	17.80182912	-1.009574284	0.506764954	-1.992194361	0.046349737	0.688572276
CRO_T119193	6.653483581	-1.742358525	0.874824648	-1.99166602	0.046407714	1
CRO_T128960	77.33496348	-0.562923218	0.282743181	-1.990934732	0.046488063	0.689536217
CRO_T115783	7.885606886	1.874795131	0.941827688	1.990592498	0.046525706	1
CRO_T108283	66.38081139	-0.633523515	0.318388187	-1.989783354	0.046614806	0.690325572
CRO_T113168	5.131380458	2.061606868	1.036190303	1.98960255	0.046634735	1
CRO_T118367	5205.525443	-0.255054972	0.12875348	-1.980955951	0.047596214	0.70374937
CRO_T117164	81.71410344	0.51532092	0.260520075	1.978046871	0.047923419	0.707473244
CRO_T124774	555.7523563	-0.294095988	0.148784079	-1.976663032	0.048079732	0.70866657
CRO_T116511	33.98502589	0.854741211	0.432885045	1.974522385	0.048322375	0.711126608
CRO_T116937	15.52339566	1.157668368	0.587281232	1.97123338	0.048697187	0.714655546
CRO_T132922	105.1169846	0.447424958	0.226994501	1.971082806	0.048714405	0.714655546
CRO_T122832	14.34556973	-1.126614003	0.572160475	-1.969052482	0.048947065	0.716948504
CRO_T123317	16.35277153	1.06253872	0.53994653	1.967859149	0.049084246	0.717837987
CRO_T124880	314.824071	0.454969331	0.231365567	1.966452212	0.049246397	0.718135961
CRO_T116999	73.62982123	0.530662686	0.2699612	1.965699836	0.049333294	0.718135961
CRO_T133683	63.41121842	-0.569126149	0.289529517	-1.965693017	0.049334082	0.718135961
CRO_T127841	128.1912579	-0.433165754	0.220662501	-1.963023853	0.049643403	0.720688906
CRO_T137959	184.4875651	0.415927211	0.21189906	1.962855383	0.04966298	0.720688906
CRO_T122888	3432.917579	-0.374156225	0.190709731	-1.961914708	0.049772415	0.721162355
